Time","Strength","Firsts","Lasts","Minimum","Maximum"
"Mon Feb 13 2017 04:25:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:48","2:00","2:48"
"Mon Feb 13 2017 04:30:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:48","2:00","2:48"
"Mon Feb 13 2017 04:35:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:48","2:00","2:48"
"Mon Feb 13 2017 04:40:00 GMT-0500 (Eastern Standard Time)","2:20","2:02","2:48","2:00","2:48"
"Mon Feb 13 2017 04:45:00 GMT-0500 (Eastern Standard Time)","2:20","2:03","2:48","2:01","2:48"
"Mon Feb 13 2017 04:50:00 GMT-0500 (Eastern Standard Time)","2:20","2:03","2:48","2:01","2:48"
"Mon Feb 13 2017 04:55:00 GMT-0500 (Eastern Standard Time)","2:20","2:03","2:48","2:01","2:48"
"Mon Feb 13 2017 05:00:00 GMT-0500 (Eastern Standard Time)","2:20","2:03","2:48","2:01","2:48"
"Mon Feb 13 2017 05:05:00 GMT-0500 (Eastern Standard Time)","2:20","2:03","2:48","2:01","2:48"
"Mon Feb 13 2017 05:10:00 GMT-0500 (Eastern Standard Time)","2:20","2:03","2:48","2:01","2:48"
"Mon Feb 13 2017 05:15:00 GMT-0500 (Eastern Standard Time)","2:20","2:03","2:48","2:01","2:48"
"Mon Feb 13 2017 05:20:00 GMT-0500 (Eastern Standard Time)","2:20","2:03","2:48","2:01","2:48"
"Mon Feb 13 2017 05:25:00 GMT-0500 (Eastern Standard Time)","2:20","2:03","2:48","2:01","2:48"
"Mon Feb 13 2017 05:30:00 GMT-0500 (Eastern Standard Time)","2:20","2:03","2:32","2:02","2:38"
"Mon Feb 13 2017 05:35:00 GMT-0500 (Eastern Standard Time)","2:20","2:06","2:28","2:02","2:35"
"Mon Feb 13 2017 05:40:00 GMT-0500 (Eastern Standard Time)","2:20","2:06","2:28","2:02","2:35"
"Mon Feb 13 2017 05:45:00 GMT-0500 (Eastern Standard Time)","2:20","2:06","2:28","2:02","2:35"
"Mon Feb 13 2017 05:50:00 GMT-0500 (Eastern Standard Time)","2:20","2:06","2:28","2:02","2:35"
"Mon Feb 13 2017 05:55:00 GMT-0500 (Eastern Standard Time)","2:20","2:07","2:28","2:03","2:33"
