Date,Period,WT,ET,NT,ST,WL,EL,NL,SL
20170213,190,8.58064516129,25.7301587302,57.4888888889,45.6440677966,12.2391304348,53.25,7.0,7.21052631579
20170214,190,8.20491803279,26.0483870968,50.6153846154,41.5151515152,13.0,57.7142857143,7.28571428571,7.51428571429
