Date,Time,Movement,Duration,Phase 1 (EL) Queue,Phase 1 (EL) Wait,Phase 2 (WT) Queue,Phase 2 (WT) Wait,Phase 3 (SL) Queue,Phase 3 (SL) Wait,Phase 4 (NT) Queue,Phase 4 (NT) Wait,Phase 5 (WL) Queue,Phase 5 (WL) Wait,Phase 6 (ET) Queue,Phase 6 (ET) Wait,Phase 7 (NL) Queue,Phase 7 (NL) Wait,Phase 8 (ST) Queue,Phase 8 (ST) Wait,Period,Errors
02/15/2017,06:09:21,ET/EL,78,40,114,0,0,2,11,40,27,0,0,14,0,1,59,2,2,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:10:46,SL/NL,7,40,2,3,58,1,96,40,113,0,0,0,0,2,144,3,87,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:11:00,ST/NT,57,40,16,5,72,0,0,40,127,0,0,7,11,0,0,40,102,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:12:04,WT/ET,18,40,80,4,136,0,0,0,0,1,3,9,74,1,25,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:12:22,ET,7,40,98,0,0,0,0,40,16,1,21,8,0,2,43,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:12:29,ET/EL,54,40,105,0,0,0,0,40,23,1,28,0,0,1,50,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:13:23,EL,7,40,0,2,2,0,0,40,77,1,82,0,0,1,103,2,25,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:13:30,WL/EL,19,7,0,2,10,0,0,40,84,1,89,0,0,1,111,3,32,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:13:56,NL/NT,7,2,0,9,35,0,0,40,110,0,0,5,19,1,137,3,58,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:14:03,NT,7,8,7,11,43,0,0,40,0,5,3,3,26,0,0,3,65,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:14:10,ST/NT,57,6,14,10,50,0,0,40,0,7,10,5,33,0,0,3,72,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:15:14,WT/WL,12,8,78,8,114,0,0,0,0,6,74,9,97,0,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:15:26,WT,7,9,89,8,0,0,0,40,9,1,0,21,109,0,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:15:33,WT/ET,9,9,96,1,0,0,0,40,16,0,0,22,116,0,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:15:42,ET,7,9,105,0,0,0,0,40,25,0,0,20,0,0,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:15:49,ET/EL,67,8,112,0,0,0,0,40,32,0,0,18,0,0,0,3,1,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:17:03,ST/SL,7,5,2,8,38,1,50,40,107,0,0,0,0,0,0,40,17,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:17:10,ST,7,40,9,8,45,1,0,40,114,0,0,7,4,0,0,40,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:17:17,ST/NT,60,8,15,8,52,0,0,40,120,0,0,5,11,0,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:18:24,WT/WL,12,40,82,9,119,2,43,0,0,3,39,8,78,0,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:18:36,WT,7,40,95,7,0,2,55,40,2,0,0,8,90,0,0,40,4,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:18:43,WT/ET,4,40,102,4,0,2,63,40,10,0,0,13,97,0,0,40,11,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:18:47,ET,7,40,106,2,0,2,67,40,14,0,0,13,0,0,0,40,15,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:18:54,ET/EL,75,40,113,0,0,2,73,40,20,0,0,11,0,0,0,40,22,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:20:16,ST/SL,7,8,2,4,55,1,156,40,103,0,0,0,0,0,0,40,104,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:20:23,ST,7,40,9,5,62,1,0,40,110,0,0,6,3,0,0,40,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:20:30,ST/NT,57,40,16,6,68,1,1,40,116,0,0,5,10,0,0,40,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:21:34,WT/WL,12,40,80,11,133,1,66,40,2,8,59,11,74,0,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:21:46,WT,7,40,92,10,0,1,78,40,14,4,0,12,86,0,0,40,8,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:21:53,WT/ET,4,40,99,8,0,1,85,40,21,0,0,13,93,0,0,40,15,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:21:57,ET,7,40,103,6,0,1,88,40,25,0,0,11,0,0,0,3,19,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:22:04,ET/EL,45,40,110,0,0,1,96,40,32,0,0,12,0,0,0,1,26,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:22:49,EL,7,40,0,4,40,1,140,40,77,1,29,8,0,0,0,1,71,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:22:56,WL/EL,15,40,0,4,47,1,147,40,84,1,36,0,0,0,0,2,78,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:23:18,ST/SL,7,0,0,7,69,1,169,40,106,0,0,13,20,0,0,40,100,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:23:25,ST,7,40,5,8,76,1,0,40,113,1,0,10,27,0,0,40,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:23:32,ST/NT,65,8,12,7,83,0,0,40,120,1,7,7,34,0,0,1,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:24:44,WT/WL,12,40,84,5,155,2,25,0,0,6,79,16,106,0,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:24:56,WT,7,40,97,5,0,1,37,40,7,2,0,17,119,1,9,2,2,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:25:03,WT/ET,4,40,103,0,0,2,44,40,14,0,0,18,125,1,15,3,8,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:25:07,ET,7,40,108,0,0,2,48,40,18,0,0,17,0,1,20,40,13,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:25:14,ET/EL,75,40,115,0,0,2,55,40,25,0,0,15,0,1,27,40,20,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:26:36,SL/NL,7,40,1,0,0,1,137,40,107,1,61,0,0,2,108,40,102,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:26:50,ST/NT,57,40,15,3,10,0,0,40,121,1,75,0,0,0,0,40,116,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:27:54,WT/WL,12,40,79,11,74,2,19,0,0,5,139,12,62,1,28,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:28:06,WT,7,40,92,8,0,3,31,0,0,3,0,16,75,1,41,40,2,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:28:13,WT/ET,4,40,98,6,0,2,38,40,2,0,0,17,81,3,47,40,8,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:28:17,ET,7,40,102,2,0,1,42,40,6,0,0,17,0,1,51,40,12,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:28:24,ET/EL,56,40,110,0,0,1,49,40,13,0,0,15,0,2,59,40,20,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:29:20,EL,7,40,0,3,53,1,39,40,69,1,23,9,0,2,115,40,76,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:29:27,WL/EL,12,8,0,3,60,1,45,40,76,1,30,0,0,2,121,40,83,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:29:46,SL/NL,7,40,1,3,79,1,64,40,95,0,0,8,18,2,140,40,102,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:30:00,ST/NT,57,40,15,7,93,0,0,40,109,1,5,10,32,0,0,40,116,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:31:04,WT/WL,12,40,79,12,157,0,0,0,0,8,69,18,95,0,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:31:16,WT,7,40,91,9,0,0,0,40,2,2,0,20,108,0,0,40,4,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:31:23,WT/ET,4,40,98,6,0,0,0,40,9,0,0,22,115,1,0,40,10,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:31:27,ET,7,40,103,0,0,0,0,40,13,0,0,21,0,2,4,40,15,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:31:34,ET/EL,67,40,109,6,0,0,0,40,20,0,0,19,0,1,11,40,22,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:32:48,NL/NT,7,40,1,7,72,3,1,40,94,2,36,0,0,2,85,2,96,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:32:55,NT,7,40,8,10,79,3,8,40,0,4,43,11,3,0,0,2,103,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:33:02,ST/NT,65,40,15,6,85,1,15,0,0,2,49,10,10,0,0,2,109,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:34:14,WT/WL,12,40,87,8,158,1,87,0,0,9,122,18,82,1,39,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:34:26,WT,7,40,99,8,0,4,99,0,0,3,0,21,94,1,51,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:34:33,WT/ET,4,40,106,3,0,4,106,40,3,0,0,22,101,1,58,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:34:37,ET,7,40,110,0,0,4,110,40,7,0,0,22,0,2,62,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:34:44,ET/EL,67,40,117,0,0,3,117,40,14,0,0,20,0,1,69,40,3,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:35:58,SL/NL,7,40,2,7,60,3,191,40,88,0,0,7,0,3,144,40,78,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:36:12,ST/NT,65,40,16,10,74,0,0,40,102,1,6,9,14,0,0,40,92,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:37:24,WT/WL,12,40,88,13,146,1,18,0,0,7,78,19,86,0,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:37:36,WT,7,40,99,12,0,1,30,40,8,7,0,21,97,2,5,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:37:43,WT/ET,4,40,107,10,0,1,0,40,15,0,0,23,105,1,12,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:37:47,ET,7,40,110,5,0,1,3,40,19,1,3,22,0,2,16,40,3,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:37:54,ET/EL,67,40,118,4,1,1,10,40,26,1,10,20,0,1,23,40,10,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:39:08,SL/NL,7,7,1,6,75,3,84,40,100,3,84,0,0,3,97,40,84,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:39:22,ST/NT,57,40,16,8,89,0,0,40,114,2,98,12,12,0,0,40,98,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:40:26,WT/WL,28,40,79,15,153,0,0,0,0,10,162,16,76,1,1,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:40:54,WT,7,40,107,0,0,0,0,40,26,0,0,22,103,2,29,40,4,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:41:01,WT/ET,34,40,114,0,0,0,0,40,33,0,0,24,111,2,36,40,11,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:41:35,ET,7,40,148,0,0,0,0,40,67,0,0,16,0,3,71,40,45,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:41:42,ET/EL,29,40,155,0,0,0,0,40,74,0,0,14,0,4,78,40,52,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:42:18,SL/NL,7,40,2,8,12,1,16,40,111,3,16,0,0,4,114,40,88,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:42:32,ST/NT,65,40,16,7,26,0,0,40,124,3,29,10,7,4,2,2,102,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:43:44,WT/WL,12,40,88,13,98,0,0,0,0,12,102,16,80,0,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:43:56,WT,7,40,100,12,0,0,0,40,11,12,0,18,91,0,0,40,6,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:44:03,WT/ET,4,40,107,10,0,0,0,40,18,9,2,20,98,0,0,40,13,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:44:07,ET,7,40,111,9,0,0,0,40,22,8,6,19,0,0,0,40,17,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:44:14,ET/EL,67,40,118,5,1,0,0,40,29,5,13,17,0,0,0,40,24,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:45:28,ST/SL,7,40,2,17,76,8,41,40,103,5,87,12,2,0,0,40,98,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:45:35,ST,7,40,9,9,82,6,0,40,110,5,94,13,9,0,0,40,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:45:42,ST/NT,65,40,16,11,90,0,0,40,117,6,101,12,16,0,0,40,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:46:05,Pedestrian Called (Phase 8),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
02/15/2017,06:46:06,Pedestrian Sent (Phase 8),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
02/15/2017,06:46:54,WT/WL,12,9,88,13,162,4,27,0,0,7,173,20,88,0,0,40,2,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:47:06,WT,7,9,100,20,0,3,39,40,5,5,0,23,100,0,0,2,14,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:47:13,WT/ET,9,9,107,12,0,3,46,40,12,0,0,25,107,0,0,2,21,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:47:22,ET,7,8,116,9,0,3,4,40,21,0,0,23,0,0,0,2,30,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:47:29,ET/EL,67,8,123,0,0,3,11,40,28,3,2,21,0,0,0,2,37,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:48:07,Pedestrian Called (Phase 8),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
02/15/2017,06:48:34,Pedestrian Sent (Phase 8),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
02/15/2017,06:48:43,ST/SL,7,40,2,6,69,3,85,40,102,11,76,0,0,0,0,40,111,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:48:50,ST,7,40,9,6,75,0,0,40,109,6,83,12,5,0,0,40,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:48:57,ST/NT,60,40,16,8,82,0,0,40,116,5,90,13,12,0,0,40,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:50:04,WT/WL,12,6,82,13,149,3,22,0,0,9,156,16,79,2,3,2,1,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:50:16,WT,7,6,94,11,0,3,34,40,10,8,0,18,91,5,15,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:50:23,WT/ET,4,6,101,10,0,3,40,40,17,0,0,20,98,3,21,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:50:27,ET,7,6,106,9,0,3,45,40,21,0,0,19,0,3,26,40,1,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:50:34,ET/EL,67,6,112,4,2,3,51,40,28,0,0,17,0,2,32,40,7,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:51:48,SL/NL,7,40,2,12,76,3,126,40,102,9,66,0,0,2,107,40,82,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:52:02,ST/NT,65,40,15,6,90,0,0,40,116,7,80,9,5,0,0,40,96,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:53:14,WT/WL,12,9,88,17,162,0,0,40,1,9,152,19,77,0,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:53:26,WT,7,9,100,13,0,0,0,40,13,7,0,21,89,0,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:53:33,WT/ET,4,9,106,11,0,0,0,40,20,1,2,23,96,0,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:53:37,ET,7,40,110,16,0,0,0,40,24,1,6,23,0,0,0,40,1,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:53:44,ET/EL,67,8,118,9,2,0,0,40,31,1,13,20,0,0,0,40,8,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:54:58,NL/NT,7,40,2,21,75,0,0,40,105,10,87,0,0,1,33,40,82,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:55:05,NT,7,3,9,21,82,0,0,40,0,10,94,0,0,0,0,40,89,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:55:12,ST/NT,57,40,16,22,89,0,0,40,0,8,101,11,3,0,0,40,96,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:56:16,WT/WL,25,40,80,26,153,0,0,0,0,9,165,15,67,3,3,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:56:41,WT,7,40,105,16,0,0,0,40,23,0,0,21,92,1,28,40,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:56:48,WT/ET,37,40,112,25,0,0,0,40,31,0,0,23,100,2,36,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:57:25,ET,7,40,149,0,0,0,0,40,67,0,0,17,0,1,72,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:57:32,ET/EL,29,40,156,0,0,0,0,40,75,0,0,16,0,2,80,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:58:08,SL/NL,7,40,0,13,18,9,13,40,110,0,0,12,0,4,115,40,32,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:58:22,ST/NT,65,40,14,5,32,0,0,40,124,0,0,9,14,0,0,40,46,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:59:34,WT/WL,12,40,86,11,104,0,0,0,0,7,61,18,86,0,0,40,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:59:46,WT,7,40,99,10,0,0,0,40,10,5,0,22,98,0,0,40,12,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:59:53,WT/ET,4,40,106,7,0,0,0,40,17,0,0,23,105,0,0,40,19,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:59:57,ET,7,40,109,3,0,5,0,40,20,0,0,22,0,0,0,40,23,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:00:04,ET/EL,67,40,117,0,0,4,8,40,28,0,0,20,0,0,0,40,30,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:01:18,ST/SL,7,40,2,11,61,4,9,40,101,6,38,8,2,0,0,40,104,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:01:25,ST,7,40,9,8,68,0,0,40,109,4,45,10,9,0,0,40,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:01:32,ST/NT,65,40,16,12,75,0,0,40,115,5,52,8,16,0,0,40,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:02:44,WT/WL,12,40,88,15,147,0,0,40,2,13,124,19,88,1,43,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:02:56,WT,7,40,100,13,0,0,0,40,13,12,0,22,100,1,55,40,8,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:03:03,WT/ET,8,40,107,12,0,2,3,40,20,12,1,24,107,1,62,2,15,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:03:11,ET,7,40,115,9,0,6,10,40,28,13,9,23,0,1,69,40,22,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:03:18,ET/EL,71,40,122,7,2,9,18,40,36,13,17,20,0,1,77,40,30,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:04:36,SL/NL,7,40,1,13,79,6,95,40,113,12,94,0,0,1,154,40,107,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:04:50,ST/NT,57,40,15,13,93,8,1,40,127,12,108,9,12,0,0,40,121,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:05:54,WT/WL,12,40,80,15,157,3,66,0,0,12,173,15,76,0,0,40,2,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:06:06,WT,7,40,92,13,0,3,77,40,5,12,0,17,88,0,0,40,6,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:06:13,WT/ET,4,40,98,13,0,4,4,40,11,12,2,19,95,0,0,1,13,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:06:17,ET,7,40,103,14,0,3,9,40,16,12,6,18,0,0,0,3,17,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:06:24,ET/EL,67,40,109,14,1,3,16,40,23,12,13,16,0,0,0,40,24,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:07:38,ST/SL,7,40,1,19,76,3,90,40,97,12,87,9,1,0,0,40,98,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:07:45,ST,7,40,7,19,82,0,0,40,103,12,94,14,8,0,0,40,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:07:52,ST/NT,65,40,15,20,90,0,0,40,111,12,101,11,15,0,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:09:04,WT/WL,12,40,87,25,162,5,63,0,0,12,173,20,88,0,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:09:16,WT,7,40,98,21,0,5,74,40,6,12,0,23,99,0,0,40,6,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:09:23,WT/ET,5,40,106,18,0,5,82,40,13,12,1,24,106,0,0,40,13,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:09:28,ET,7,40,111,26,0,5,87,40,18,12,6,23,0,0,0,40,18,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:09:35,ET/EL,67,40,118,26,2,5,94,40,26,12,13,21,0,0,0,40,26,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:10:49,ST/SL,10,40,1,30,76,9,168,40,99,12,87,8,1,0,0,40,99,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:10:59,ST,7,40,11,30,86,9,0,40,109,12,97,12,11,0,0,40,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,07:11:06,ST/NT,61,40,18,30,93,9,1,40,116,12,104,13,18,0,0,40,0,190,"Phase 5 (WL):(Stuck Detector)"
