Date,Time,Movement,Duration,Phase 1 (EL) Queue,Phase 1 (EL) Wait,Phase 2 (WT) Queue,Phase 2 (WT) Wait,Phase 3 (SL) Queue,Phase 3 (SL) Wait,Phase 4 (NT) Queue,Phase 4 (NT) Wait,Phase 5 (WL) Queue,Phase 5 (WL) Wait,Phase 6 (ET) Queue,Phase 6 (ET) Wait,Phase 7 (NL) Queue,Phase 7 (NL) Wait,Phase 8 (ST) Queue,Phase 8 (ST) Wait,Period,Errors
02/15/2017,06:00:01,Period length changed to 190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,""
02/15/2017,06:00:05,NT,7,7,37,6,12,1,12,4,0,0,0,8,27,0,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:00:12,ST/NT,135,40,44,9,18,1,18,3,0,1,0,8,34,0,0,40,6,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:02:34,WT/WL,9,40,186,6,160,4,86,4,1,1,141,19,176,1,86,40,2,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:02:43,WT,7,40,195,6,0,3,95,40,10,0,0,20,185,1,95,1,11,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:02:50,WT/ET,6,40,202,0,0,3,102,40,17,0,0,21,192,1,102,1,18,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:02:56,ET,7,40,208,0,0,2,108,40,23,0,0,20,0,1,108,2,24,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:03:03,ET/EL,7,40,215,0,0,2,115,40,30,2,1,17,0,1,115,3,31,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:03:10,ET,7,40,0,2,4,2,121,40,36,1,4,14,0,2,121,3,38,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:03:17,WT/ET,54,40,1,2,11,4,128,40,43,1,11,14,0,1,128,40,44,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:04:18,SL/NL,7,40,62,0,0,0,0,40,104,3,72,0,0,1,189,40,106,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:04:32,ST/NT,65,40,77,0,0,0,0,40,119,2,87,8,11,0,0,40,120,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:05:44,WT/WL,10,40,148,1,61,5,24,0,0,2,158,13,82,1,45,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:05:54,WT,7,40,158,0,0,6,34,40,4,0,0,14,92,1,55,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:06:01,WT/ET,1,40,165,0,0,2,41,40,11,0,0,14,99,2,61,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:06:02,ET,7,40,166,0,0,2,42,40,12,0,0,14,0,1,63,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:06:09,ET/EL,72,40,173,0,0,2,49,40,19,0,0,14,0,1,70,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:07:28,SL/NL,7,40,1,4,26,2,128,40,98,2,17,8,0,3,149,40,33,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:07:42,ST/NT,65,40,15,4,40,0,0,40,112,2,31,7,13,0,0,40,47,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:08:54,WT/WL,12,40,87,6,112,0,0,40,0,2,103,9,85,1,31,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:09:06,WT,7,40,99,1,0,0,0,40,12,0,0,10,97,1,44,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:09:13,WT/ET,1,40,106,0,0,2,2,40,19,0,0,11,104,1,50,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/15/2017,06:09:14,ET,7,40,107,0,0,2,4,40,20,0,0,12,0,1,52,0,0,190,"Phase 5 (WL):(Stuck Detector)"
