Date,Time,Movement,Duration,Phase 1 (EL) Queue,Phase 1 (EL) Wait,Phase 2 (WT) Queue,Phase 2 (WT) Wait,Phase 3 (SL) Queue,Phase 3 (SL) Wait,Phase 4 (NT) Queue,Phase 4 (NT) Wait,Phase 5 (WL) Queue,Phase 5 (WL) Wait,Phase 6 (ET) Queue,Phase 6 (ET) Wait,Phase 7 (NL) Queue,Phase 7 (NL) Wait,Phase 8 (ST) Queue,Phase 8 (ST) Wait,Period,Errors
02/17/2017,06:00:01,Period length changed to 190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,""
02/17/2017,06:00:02,ST/NT,24,7,39,0,0,4,4,0,0,2,23,6,8,0,0,2,51,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:00:33,ET/EL,33,40,69,2,23,1,35,0,0,2,54,10,38,1,17,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:01:13,SL/NL,7,0,0,4,63,1,75,40,20,2,94,0,0,2,57,40,33,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:01:27,ST/NT,60,5,0,6,78,1,1,3,35,2,108,4,11,0,0,40,47,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:02:34,WT/WL,12,40,67,6,145,5,69,0,0,4,175,7,78,0,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:02:46,WT,7,40,79,6,0,3,80,40,6,0,0,11,90,0,0,1,6,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:02:53,WT/ET,9,9,86,5,0,3,87,40,13,0,0,8,97,0,0,1,13,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:03:02,ET,7,9,95,0,0,3,97,4,22,0,0,7,0,0,0,2,22,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:03:09,ET/EL,41,9,102,0,0,3,104,40,29,0,0,6,0,0,0,40,29,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:03:57,ST/SL,9,4,2,4,0,3,151,40,77,0,0,0,0,0,0,40,77,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:04:06,ST,7,6,11,5,9,0,0,40,86,0,0,5,6,1,5,3,0,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:04:13,ST/NT,84,7,18,4,16,0,0,40,93,0,0,4,13,2,12,2,0,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:05:44,WT/WL,9,40,109,5,107,2,75,0,0,2,73,12,104,1,103,2,0,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:05:53,WT,7,40,118,4,0,2,84,0,0,0,0,13,113,1,112,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:06:00,WT/ET,2,40,125,0,0,2,91,0,0,0,0,14,121,1,120,1,0,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:06:02,ET,7,40,127,0,0,2,93,0,0,0,0,14,0,1,121,1,1,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:06:09,ET/EL,55,40,134,0,0,2,100,3,6,0,0,11,0,1,128,3,8,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:07:04,EL,7,40,0,6,19,2,155,2,61,3,2,0,0,1,183,40,63,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:07:11,WL/EL,18,9,0,8,26,3,161,40,68,3,9,5,1,1,190,40,70,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:07:36,SL/NL,7,0,0,7,50,1,186,3,92,0,0,5,26,1,215,3,95,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:07:50,ST/NT,57,1,5,9,64,0,0,40,106,0,0,5,40,0,0,2,109,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:08:54,WT/WL,9,40,69,6,129,1,16,0,0,1,40,11,104,3,48,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:09:03,WT,7,40,78,5,0,1,25,40,1,0,0,10,113,3,57,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:09:10,WT/ET,6,9,85,0,0,1,32,40,9,0,0,9,120,2,64,40,4,190,"Phase 5 (WL):(Stuck Detector)"
02/17/2017,06:09:16,ET,7,40,91,0,0,1,37,40,14,0,0,9,0,3,70,40,9,190,"Phase 5 (WL):(Stuck Detector)"
