Date,Time,Movement,Duration,Phase 1 (EL) Queue,Phase 1 (EL) Wait,Phase 2 (WT) Queue,Phase 2 (WT) Wait,Phase 3 (SL) Queue,Phase 3 (SL) Wait,Phase 4 (NT) Queue,Phase 4 (NT) Wait,Phase 5 (WL) Queue,Phase 5 (WL) Wait,Phase 6 (ET) Queue,Phase 6 (ET) Wait,Phase 7 (NL) Queue,Phase 7 (NL) Wait,Phase 8 (ST) Queue,Phase 8 (ST) Wait,Period,Errors
02/13/2017,06:00:02,Period length changed to 190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,""
02/13/2017,06:00:23,ET/EL,22,7,28,6,14,0,0,0,0,0,0,7,59,0,0,3,64,190,"Phase 5 (WL):(Stuck Detector)"
02/13/2017,06:00:45,EL,7,7,0,6,36,7,9,40,7,1,2,0,0,0,0,3,87,190,"Phase 5 (WL):(Stuck Detector)"
02/13/2017,06:00:52,WL/EL,9,0,0,6,43,1,15,40,13,1,8,0,0,1,1,40,93,190,"Phase 5 (WL):(Stuck Detector)"
02/13/2017,06:01:08,SL/NL,7,0,0,8,59,1,31,40,29,0,0,2,14,1,17,40,109,190,"Phase 5 (WL):(Stuck Detector)"
02/13/2017,06:01:22,ST/NT,65,3,13,8,73,0,0,40,44,0,0,4,28,0,0,40,124,190,"Phase 5 (WL):(Stuck Detector)"
02/13/2017,06:02:34,WT/WL,10,40,84,9,144,1,30,0,0,2,55,11,99,0,0,40,1,190,"Phase 5 (WL):(Stuck Detector)"
02/13/2017,06:02:44,WT,7,40,95,8,0,1,41,4,0,0,0,11,110,0,0,40,7,190,"Phase 5 (WL):(Stuck Detector)"
02/13/2017,06:02:51,WT/ET,6,40,101,0,0,1,47,4,7,0,0,10,116,0,0,40,13,190,"Phase 5 (WL):(Stuck Detector)"
02/13/2017,06:02:57,ET,7,40,107,0,0,1,53,40,13,0,0,11,0,0,0,40,20,190,"Phase 5 (WL):(Stuck Detector)"
02/13/2017,06:03:04,ET/EL,63,40,114,0,0,1,60,4,20,0,0,10,0,0,0,3,26,190,"Phase 5 (WL):(Stuck Detector)"
02/13/2017,06:04:14,SL/NL,7,0,0,2,14,1,131,40,90,3,18,0,0,1,62,40,97,190,"Phase 5 (WL):(Stuck Detector)"
02/13/2017,06:04:28,ST/NT,69,5,13,3,27,0,0,40,104,2,32,3,6,0,0,40,111,190,"Phase 5 (WL):(Stuck Detector)"
02/13/2017,06:05:44,WT/WL,12,40,89,6,103,3,73,2,0,4,108,11,82,0,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/13/2017,06:05:56,WT,7,40,100,2,0,3,84,40,11,0,0,11,94,0,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/13/2017,06:06:03,WT/ET,4,40,108,0,0,3,92,40,18,0,0,12,101,1,4,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/13/2017,06:06:07,ET,7,40,112,0,0,2,96,40,22,0,0,11,0,1,8,0,0,190,"Phase 5 (WL):(Stuck Detector)"
