Time","Strength","Firsts","Lasts","Minimum","Maximum"
"Mon Feb 13 2017 03:55:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:57","1:02"
"Mon Feb 13 2017 04:00:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:57","1:02"
"Mon Feb 13 2017 04:05:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:57","1:02"
"Mon Feb 13 2017 04:10:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:56","1:01"
"Mon Feb 13 2017 04:15:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:56","1:01"
"Mon Feb 13 2017 04:20:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:57","1:01"
"Mon Feb 13 2017 04:25:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:58","1:02"
"Mon Feb 13 2017 04:30:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:57","1:02"
"Mon Feb 13 2017 04:35:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:57","1:02"
"Mon Feb 13 2017 04:40:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:57","1:02"
"Mon Feb 13 2017 04:45:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:58","1:02"
"Mon Feb 13 2017 04:50:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:57","1:02"
"Mon Feb 13 2017 04:55:00 GMT-0500 (Eastern Standard Time)","1:01","1:00","1:00","0:58","1:02"
"Mon Feb 13 2017 05:00:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:59","1:01"
"Mon Feb 13 2017 05:05:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:58","1:01"
"Mon Feb 13 2017 05:10:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:58","1:02"
"Mon Feb 13 2017 05:15:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:58","1:01"
"Mon Feb 13 2017 05:20:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:59","1:01"
"Mon Feb 13 2017 05:25:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:58","1:01"
"Mon Feb 13 2017 05:30:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:59","1:01"
"Mon Feb 13 2017 05:35:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:59","1:01"
"Mon Feb 13 2017 05:40:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:59","1:01"
"Mon Feb 13 2017 05:45:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:59","1:01"
"Mon Feb 13 2017 05:50:00 GMT-0500 (Eastern Standard Time)","1:00","1:00","1:00","0:59","1:01"
"Mon Feb 13 2017 05:55:00 GMT-0500 (Eastern Standard Time)","1:01","1:00","1:01","0:59","1:02"
"Mon Feb 13 2017 06:00:00 GMT-0500 (Eastern Standard Time)","1:01","1:00","1:01","0:59","1:02"
"Mon Feb 13 2017 06:05:00 GMT-0500 (Eastern Standard Time)","1:01","1:00","1:01","0:59","1:02"
"Mon Feb 13 2017 06:10:00 GMT-0500 (Eastern Standard Time)","1:01","1:00","1:01","0:59","1:02"
"Mon Feb 13 2017 06:15:00 GMT-0500 (Eastern Standard Time)","1:01","1:00","1:01","0:59","1:02"
"Mon Feb 13 2017 06:20:00 GMT-0500 (Eastern Standard Time)","1:01","1:00","1:01","0:59","1:02"
"Mon Feb 13 2017 06:25:00 GMT-0500 (Eastern Standard Time)","1:01","1:01","1:01","0:59","1:02"
"Mon Feb 13 2017 06:30:00 GMT-0500 (Eastern Standard Time)","1:01","1:01","1:01","0:59","1:02"
"Mon Feb 13 2017 06:35:00 GMT-0500 (Eastern Standard Time)","1:01","1:01","1:01","0:59","1:02"
"Mon Feb 13 2017 06:40:00 GMT-0500 (Eastern Standard Time)","1:01","1:01","1:01","0:59","1:02"
"Mon Feb 13 2017 06:45:00 GMT-0500 (Eastern Standard Time)","1:01","1:01","1:01","0:59","1:02"
"Mon Feb 13 2017 06:50:00 GMT-0500 (Eastern Standard Time)","1:01","1:01","1:01","0:59","1:02"
"Mon Feb 13 2017 06:55:00 GMT-0500 (Eastern Standard Time)","1:01","1:01","1:01","0:59","1:02"
"Mon Feb 13 2017 07:00:00 GMT-0500 (Eastern Standard Time)","1:01","1:01","1:01","0:59","1:02"
"Mon Feb 13 2017 07:05:00 GMT-0500 (Eastern Standard Time)","1:01","1:00","1:01","0:59","1:03"
"Mon Feb 13 2017 07:10:00 GMT-0500 (Eastern Standard Time)","1:01","1:01","1:01","1:00","1:03"
"Mon Feb 13 2017 07:15:00 GMT-0500 (Eastern Standard Time)","1:02","1:01","1:02","1:00","1:04"
"Mon Feb 13 2017 07:20:00 GMT-0500 (Eastern Standard Time)","1:03","1:01","1:02","1:00","1:03"
"Mon Feb 13 2017 07:25:00 GMT-0500 (Eastern Standard Time)","1:03","1:01","1:03","0:59","1:04"
"Mon Feb 13 2017 07:30:00 GMT-0500 (Eastern Standard Time)","1:03","1:01","1:03","1:00","1:04"
"Mon Feb 13 2017 07:35:00 GMT-0500 (Eastern Standard Time)","1:03","1:01","1:03","1:00","1:04"
"Mon Feb 13 2017 07:40:00 GMT-0500 (Eastern Standard Time)","1:03","1:01","1:03","1:00","1:08"
"Mon Feb 13 2017 07:45:00 GMT-0500 (Eastern Standard Time)","1:03","1:02","1:03","1:00","1:08"
"Mon Feb 13 2017 07:50:00 GMT-0500 (Eastern Standard Time)","1:03","1:02","1:03","1:00","1:04"
"Mon Feb 13 2017 07:55:00 GMT-0500 (Eastern Standard Time)","1:03","1:01","1:03","1:00","1:04"
"Mon Feb 13 2017 08:00:00 GMT-0500 (Eastern Standard Time)","1:03","1:01","1:03","1:00","1:04"
"Mon Feb 13 2017 08:05:00 GMT-0500 (Eastern Standard Time)","1:03","1:01","1:03","1:00","1:04"
"Mon Feb 13 2017 08:10:00 GMT-0500 (Eastern Standard Time)","1:03","1:00","1:04","1:00","1:04"
"Mon Feb 13 2017 08:15:00 GMT-0500 (Eastern Standard Time)","1:03","1:00","1:04","1:00","1:06"
"Mon Feb 13 2017 08:20:00 GMT-0500 (Eastern Standard Time)","1:03","1:02","1:07","1:01","1:08"
"Mon Feb 13 2017 08:25:00 GMT-0500 (Eastern Standard Time)","1:04","1:02","1:07","1:01","1:08"
"Mon Feb 13 2017 08:30:00 GMT-0500 (Eastern Standard Time)","1:06","1:02","1:07","1:00","1:08"
"Mon Feb 13 2017 08:35:00 GMT-0500 (Eastern Standard Time)","1:05","1:03","1:07","1:00","1:08"
"Mon Feb 13 2017 08:40:00 GMT-0500 (Eastern Standard Time)","1:06","1:04","1:07","1:00","1:11"
"Mon Feb 13 2017 08:45:00 GMT-0500 (Eastern Standard Time)","1:08","1:05","1:09","1:00","1:14"
"Mon Feb 13 2017 08:50:00 GMT-0500 (Eastern Standard Time)","1:09","1:06","1:09","1:00","1:16"
"Mon Feb 13 2017 08:55:00 GMT-0500 (Eastern Standard Time)","1:14","1:08","1:12","1:02","1:21"
"Mon Feb 13 2017 09:00:00 GMT-0500 (Eastern Standard Time)","1:15","1:09","1:16","1:03","1:23"
"Mon Feb 13 2017 09:05:00 GMT-0500 (Eastern Standard Time)","1:16","1:12","1:16","1:03","1:24"
"Mon Feb 13 2017 09:10:00 GMT-0500 (Eastern Standard Time)","1:20","1:15","1:19","1:04","1:27"
"Mon Feb 13 2017 09:15:00 GMT-0500 (Eastern Standard Time)","1:22","1:15","1:19","1:04","1:27"
"Mon Feb 13 2017 09:20:00 GMT-0500 (Eastern Standard Time)","1:21","1:15","1:18","1:04","1:27"
"Mon Feb 13 2017 09:25:00 GMT-0500 (Eastern Standard Time)","1:18","1:14","1:16","1:03","1:27"
"Mon Feb 13 2017 09:30:00 GMT-0500 (Eastern Standard Time)","1:17","1:10","1:16","1:01","1:27"
"Mon Feb 13 2017 09:35:00 GMT-0500 (Eastern Standard Time)","1:20","1:09","1:16","1:01","1:25"
"Mon Feb 13 2017 09:40:00 GMT-0500 (Eastern Standard Time)","1:17","1:09","1:14","1:01","1:22"
"Mon Feb 13 2017 09:45:00 GMT-0500 (Eastern Standard Time)","1:14","1:06","1:10","1:01","1:20"
"Mon Feb 13 2017 09:50:00 GMT-0500 (Eastern Standard Time)","1:10","1:04","1:08","1:01","1:17"
"Mon Feb 13 2017 09:55:00 GMT-0500 (Eastern Standard Time)","1:06","1:02","1:05","1:00","1:08"
"Mon Feb 13 2017 10:00:00 GMT-0500 (Eastern Standard Time)","1:05","1:02","1:05","1:00","1:09"
"Mon Feb 13 2017 10:05:00 GMT-0500 (Eastern Standard Time)","1:06","1:02","1:05","0:59","1:10"
"Mon Feb 13 2017 10:10:00 GMT-0500 (Eastern Standard Time)","1:10","1:04","1:06","1:00","1:19"
"Mon Feb 13 2017 10:15:00 GMT-0500 (Eastern Standard Time)","1:14","1:07","1:07","1:00","1:20"
"Mon Feb 13 2017 10:20:00 GMT-0500 (Eastern Standard Time)","1:14","1:07","1:07","1:00","1:21"
"Mon Feb 13 2017 10:25:00 GMT-0500 (Eastern Standard Time)","1:09","1:05","1:06","1:00","1:17"
"Mon Feb 13 2017 10:30:00 GMT-0500 (Eastern Standard Time)","1:09","1:05","1:07","1:00","1:20"
"Mon Feb 13 2017 10:35:00 GMT-0500 (Eastern Standard Time)","1:09","1:05","1:05","1:00","1:20"
"Mon Feb 13 2017 10:40:00 GMT-0500 (Eastern Standard Time)","1:10","1:06","1:07","1:00","1:21"
"Mon Feb 13 2017 10:45:00 GMT-0500 (Eastern Standard Time)","1:13","1:05","1:09","1:00","1:22"
"Mon Feb 13 2017 10:50:00 GMT-0500 (Eastern Standard Time)","1:10","1:04","1:08","1:00","1:20"
"Mon Feb 13 2017 10:55:00 GMT-0500 (Eastern Standard Time)","1:09","1:03","1:08","0:59","1:20"
"Mon Feb 13 2017 11:00:00 GMT-0500 (Eastern Standard Time)","1:09","1:03","1:07","1:00","1:15"
"Mon Feb 13 2017 11:05:00 GMT-0500 (Eastern Standard Time)","1:09","1:02","1:07","1:00","1:13"
"Mon Feb 13 2017 11:10:00 GMT-0500 (Eastern Standard Time)","1:09","1:02","1:08","0:59","1:13"
"Mon Feb 13 2017 11:15:00 GMT-0500 (Eastern Standard Time)","1:13","1:03","1:10","0:59","1:17"
"Mon Feb 13 2017 11:20:00 GMT-0500 (Eastern Standard Time)","1:09","1:02","1:09","0:59","1:15"
"Mon Feb 13 2017 11:25:00 GMT-0500 (Eastern Standard Time)","1:09","1:03","1:09","1:00","1:15"
"Mon Feb 13 2017 11:30:00 GMT-0500 (Eastern Standard Time)","1:10","1:03","1:09","1:00","1:16"
"Mon Feb 13 2017 11:35:00 GMT-0500 (Eastern Standard Time)","1:10","1:03","1:13","1:02","1:16"
"Mon Feb 13 2017 11:40:00 GMT-0500 (Eastern Standard Time)","1:10","1:03","1:13","1:00","1:17"
"Mon Feb 13 2017 11:45:00 GMT-0500 (Eastern Standard Time)","1:12","1:04","1:15","1:01","1:20"
"Mon Feb 13 2017 11:50:00 GMT-0500 (Eastern Standard Time)","1:12","1:06","1:18","1:01","1:24"
"Mon Feb 13 2017 11:55:00 GMT-0500 (Eastern Standard Time)","1:08","1:03","1:11","1:00","1:16"
"Mon Feb 13 2017 12:00:00 GMT-0500 (Eastern Standard Time)","1:09","1:03","1:11","1:00","1:15"
"Mon Feb 13 2017 12:05:00 GMT-0500 (Eastern Standard Time)","1:10","1:05","1:12","1:00","1:18"
"Mon Feb 13 2017 12:10:00 GMT-0500 (Eastern Standard Time)","1:10","1:05","1:10","1:00","1:14"
"Mon Feb 13 2017 12:15:00 GMT-0500 (Eastern Standard Time)","1:10","1:05","1:10","1:00","1:14"
"Mon Feb 13 2017 12:20:00 GMT-0500 (Eastern Standard Time)","1:10","1:05","1:10","1:00","1:13"
"Mon Feb 13 2017 12:25:00 GMT-0500 (Eastern Standard Time)","1:10","1:05","1:09","1:01","1:14"
"Mon Feb 13 2017 12:30:00 GMT-0500 (Eastern Standard Time)","1:13","1:06","1:11","1:01","1:20"
