Date,Time,Movement,Duration,Phase 1 (EL) Queue,Phase 1 (EL) Wait,Phase 2 (WT) Queue,Phase 2 (WT) Wait,Phase 3 (SL) Queue,Phase 3 (SL) Wait,Phase 4 (NT) Queue,Phase 4 (NT) Wait,Phase 5 (WL) Queue,Phase 5 (WL) Wait,Phase 6 (ET) Queue,Phase 6 (ET) Wait,Phase 7 (NL) Queue,Phase 7 (NL) Wait,Phase 8 (ST) Queue,Phase 8 (ST) Wait,Period,Errors
02/14/2017,06:00:01,Period length changed to 190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,""
02/14/2017,06:00:07,ET/EL,32,9,67,3,10,1,20,0,0,0,0,9,70,2,38,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:00:46,SL/NL,12,0,0,2,49,2,59,40,0,3,19,0,0,1,77,40,35,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:01:05,WT/WL,19,9,3,8,67,0,0,40,18,4,37,3,2,1,1,3,54,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:01:31,ET/EL,28,8,29,1,0,0,0,3,44,0,0,3,28,1,27,40,80,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:02:06,SL/NL,10,0,0,2,35,2,4,40,79,2,6,0,0,1,62,40,115,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:02:23,WT/WL,12,6,11,4,52,1,2,40,96,2,23,0,0,0,0,40,132,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:02:35,WT,7,5,23,0,0,1,13,40,108,0,0,6,9,0,0,40,144,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:02:42,WT/ET,7,40,30,0,0,1,21,40,115,0,0,8,16,0,0,40,151,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:02:49,ET,7,40,37,0,0,1,27,40,122,0,0,9,0,0,0,40,158,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:02:56,ET/EL,7,40,44,0,0,1,35,40,129,0,0,6,0,0,0,40,165,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:03:03,ET,7,9,0,0,0,1,42,40,136,0,0,0,0,0,0,40,172,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:03:10,WT/ET,32,40,2,0,0,1,48,40,143,0,0,0,0,0,0,40,179,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:03:49,ST/SL,7,40,40,0,0,1,87,40,182,0,0,0,0,0,0,40,218,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:03:56,ST,7,40,48,0,0,1,0,40,190,0,0,0,0,0,0,40,0,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:04:03,ST/NT,93,40,55,1,4,0,0,40,196,0,0,0,0,0,0,40,0,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:05:43,WT/WL,13,40,154,6,104,1,20,0,0,3,43,10,83,1,45,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:05:56,WT,7,40,168,0,0,1,33,0,0,0,0,14,97,1,59,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:06:03,WT/ET,1,40,174,0,0,1,40,40,3,0,0,14,103,1,65,2,3,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:06:04,ET,7,40,176,3,0,1,41,40,4,0,0,15,0,1,67,1,4,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:06:11,ET/EL,78,40,182,0,0,1,48,40,11,0,0,14,0,1,73,1,11,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:07:36,SL/NL,7,2,2,2,60,4,133,40,96,0,0,0,0,2,159,3,96,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:07:50,ST/NT,57,5,16,4,74,3,2,40,110,0,0,0,0,1,2,3,110,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:08:54,WT/WL,12,40,79,4,138,1,65,4,0,7,38,10,58,1,65,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:09:06,WT,6,40,91,0,0,1,77,40,12,2,0,8,70,2,77,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:09:13,ET,6,40,99,0,0,1,85,40,20,0,0,9,78,1,85,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:09:19,ET/EL,72,40,105,0,0,1,91,4,25,0,0,12,0,1,91,1,0,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:10:38,SL/NL,7,0,0,2,9,1,169,40,104,0,0,0,0,1,169,2,78,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:10:52,ST/NT,62,6,12,3,24,0,0,40,118,0,0,0,0,0,0,40,92,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:12:01,WT/WL,15,40,82,4,93,0,0,0,0,2,56,9,66,1,0,0,0,190,"Phase 5 (WL):(Stuck Detector)"
02/14/2017,06:12:16,WT,3,40,96,0,0,0,0,4,9,0,0,10,80,1,14,0,0,190,"Phase 5 (WL):(Stuck Detector)"
