Time","Strength","Firsts","Lasts","Minimum","Maximum"
"Mon Feb 13 2017 04:25:00 GMT-0500 (Eastern Standard Time)","0:44","0:44","0:46","0:37","0:54"
"Mon Feb 13 2017 04:30:00 GMT-0500 (Eastern Standard Time)","0:44","0:44","0:46","0:37","0:54"
"Mon Feb 13 2017 04:35:00 GMT-0500 (Eastern Standard Time)","0:44","0:44","0:45","0:39","0:53"
"Mon Feb 13 2017 04:40:00 GMT-0500 (Eastern Standard Time)","0:44","0:44","0:45","0:39","0:53"
"Mon Feb 13 2017 04:45:00 GMT-0500 (Eastern Standard Time)","0:42","0:44","0:45","0:39","0:53"
"Mon Feb 13 2017 04:50:00 GMT-0500 (Eastern Standard Time)","0:42","0:44","0:45","0:37","0:54"
"Mon Feb 13 2017 04:55:00 GMT-0500 (Eastern Standard Time)","0:42","0:44","0:45","0:36","0:54"
"Mon Feb 13 2017 05:00:00 GMT-0500 (Eastern Standard Time)","0:42","0:44","0:45","0:36","0:54"
"Mon Feb 13 2017 05:05:00 GMT-0500 (Eastern Standard Time)","0:42","0:44","0:45","0:36","0:54"
"Mon Feb 13 2017 05:10:00 GMT-0500 (Eastern Standard Time)","0:42","0:44","0:45","0:38","0:54"
"Mon Feb 13 2017 05:15:00 GMT-0500 (Eastern Standard Time)","0:42","0:43","0:45","0:40","0:53"
"Mon Feb 13 2017 05:20:00 GMT-0500 (Eastern Standard Time)","0:42","0:44","0:45","0:40","0:53"
"Mon Feb 13 2017 05:25:00 GMT-0500 (Eastern Standard Time)","0:42","0:44","0:45","0:40","0:53"
"Mon Feb 13 2017 05:30:00 GMT-0500 (Eastern Standard Time)","0:42","0:44","0:45","0:40","0:54"
"Mon Feb 13 2017 05:35:00 GMT-0500 (Eastern Standard Time)","0:42","0:44","0:45","0:39","0:54"
"Mon Feb 13 2017 05:40:00 GMT-0500 (Eastern Standard Time)","0:43","0:44","0:47","0:39","0:56"
"Mon Feb 13 2017 05:45:00 GMT-0500 (Eastern Standard Time)","0:45","0:44","0:50","0:40","1:00"
"Mon Feb 13 2017 05:50:00 GMT-0500 (Eastern Standard Time)","0:46","0:47","0:54","0:40","1:01"
"Mon Feb 13 2017 05:55:00 GMT-0500 (Eastern Standard Time)","0:49","0:49","0:56","0:41","1:01"
"Mon Feb 13 2017 06:00:00 GMT-0500 (Eastern Standard Time)","0:49","0:49","0:57","0:40","1:03"
"Mon Feb 13 2017 06:05:00 GMT-0500 (Eastern Standard Time)","0:50","0:49","0:59","0:40","1:04"
"Mon Feb 13 2017 06:10:00 GMT-0500 (Eastern Standard Time)","0:55","0:50","1:02","0:43","1:06"
"Mon Feb 13 2017 06:15:00 GMT-0500 (Eastern Standard Time)","1:00","0:51","1:03","0:45","1:08"
